Country,States,Population,Birth Rate,Births,Death Rate,Deaths,Inbound Migration,Outbound Migration,Population Growth %
Cambodia,Kampong Speu,872298.674891284,,,,,,,0.01
Cambodia,Kampong Thom,677321.865903942,,,,,,,0.01
Cambodia,Kampot,592899.154817681,,,,,,,0.01
Cambodia,Kandal,1195656.21004615,,,,,,,0.01
Cambodia,Koh Kong,123629.292176288,,,,,,,0.01
Cambodia,Kratié,327854.945943891,,,,,,,0.01
Cambodia,Mondulkiri,88657.0978509267,,,,,,,0.01
Cambodia,Phnom Penh,2129565.51239072,,,,,,,0.01
Cambodia,Preah Vihear,251374.960338256,,,,,,,0.01
Cambodia,Prey Veng,1057524.59324199,,,,,,,0.01
Cambodia,Pursat,411796.613092078,,,,,,,0.01
Cambodia,Ratanak Kiri,204045.637325079,,,,,,,0.01
Cambodia,Siem Reap,1006603.94220049,,,,,,,0.01
Cambodia,Preah Sihanouk,302914.667923762,,,,,,,0.01
Cambodia,Stung Treng,159579.575839355,,,,,,,0.01
Cambodia,Svay Rieng,524601.916616036,,,,,,,0.01
Cambodia,Takéo,899567.165568035,,,,,,,0.01
Cambodia,Oddar Meanchey,261275.864676987,,,,,,,0.01
Cambodia,Kep,41801.8181363922,,,,,,,0.01
Cambodia,Pailin,71606.5404700148,,,,,,,0.01
Cambodia,Tboung Khmum,775366.821232411,,,,,,,0.01
Cameroon,Adamawa,1132081.40318668,,,,,,,0.01
Cameroon,Central,3920186.06588683,,,,,,,0.01
Cameroon,East,824279.288848437,,,,,,,0.01
Cameroon,Far North,3803485.40656496,,,,,,,0.01
Cameroon,Littoral,3174726.97639682,,,,,,,0.01
Cameroon,North,2311390.1200691,,,,,,,0.01
Cameroon,Northwest,1900720.60992548,,,,,,,0.01
Cameroon,South,761168.524374131,,,,,,,0.01
Cameroon,Southwest,1481568.32497367,,,,,,,0.01
Cameroon,West,1865564.39879221,,,,,,,0.01
Canada,Ontaria,14319852.9610925,,,,,,,0.01
Canada, Quebec,8388398.18792725,,,,,,,0.01
Canada, Nova Scotia,959587.64777904,,,,,,,0.01
Canada, New Brunswick,770991.42158777,,,,,,,0.01
Canada, Manitoba,1353526.62977289,,,,,,,0.01
